question,a,b,c,d,answer,source,id
Unattached gingiva:,Is interdental gingiva,Is below mucogingival fold,c)	Cannot be separated by probe,d)	Is marginal gingiva,3,MEDMCQA,767
"A 5 years old child brought to the hospital with history of loose stools but no history of fever or blood in stools. Mother says he is irritable and drinks water hastily when given. On examination eyes are sunken and in skin pinch test, the skin retracted within two seconds but not immediately. What is the treatment for this child?",Administer the first dose of IV antibiotic and immediately refer to hither center,Give oral fluids and ask the mother to continue the same and visit again next day,"Consider severe dehydration, sta IV fluids, IV antibiotics and refer to higher center",Give Zinc supplementation and oral rehydration solution only and ask mother to come back if some danger signs develop,3,MEDMCQA,768
Biomarker of alcoholic hepatitis:,ALP,AST,LDH,GGT,3,MEDMCQA,769
The advantage of glass ionomer cement reinforced with metal particles is:,Decreased strength but biocompatibility,Increased resistance to abrasion,Better colour,Ease of manipulation,1,MEDMCQA,770
Empty Thecal sac sign in:,Arachnoiditis,Tethered Cord syndrome,Veebral osteomyelitis,Discitis,0,MEDMCQA,771
Fixation period of intrusive luxation injury is?,2 weeks,4 weeks,"4 weeks, if semi-rigid & 2 weeks, if rigid",6-8 weeks,1,MEDMCQA,772
Which surface of tooth has most of plaque?,Gingival third of tooth surface,Incisal one third of tooth surface,Middle third of tooth surface,Uniform on all surfaces,0,MEDMCQA,773
"A patient presents to the ER after a A with multiple rib injuries. He is conscious, speaking single words.RR= 40/ minute, BP= 90/40mm Hg. What is the next immediate step in management?",Intubate the patient,Urgent fluid infusion,Chest X- ray,Needle inseion in 2nd ICS,3,MEDMCQA,774
"What we will define it ""ratio of no. of death under 1 year of age to total live birth per 1000 live births per year""?",Infant mortality rate,Child mortality rate,Child morbidity rate,Life expectancy rate,0,MEDMCQA,775
"According to WHO definition, what is the criteria for considering a high endemic area for meningococcal meningitis?","<2 per 1,00,000 population","2-10 per 1,00,000 population",">10 per 1,00,000 population",">100 per 1,00,000 population",2,MEDMCQA,776
Stimulated saliva as compared to unstimulated saliva has more,Bicarbonate,Cl,Na,H,0,MEDMCQA,777
Bones are held by a long cord or sheet of dense fibrous connective tissue called:,Suture.,Gomphosis.,Synchondrosis.,Syndesmosis.,3,MEDMCQA,778
Epidemiological surveillance is defined as,Active surveillance,passive surveillance,Sentinel surveillance,Epidemiological surveillance,1,MEDMCQA,779
Most common phobia in chilhood:,Zoophobia,Nyclophobia,Xenophobia.,Claustrophobia,0,MEDMCQA,780
Which among the following is used for sharpening of both stainless steel and carbon steel instrument:,Arkansas.,Silicon carbide.,Alumina.,Diamond.,3,MEDMCQA,781
Ergometrine is contraindicated in:,Eclampsia,Abortion,Induction of labour,Post partum hemorrhage,0,MEDMCQA,782
Most commonly used tooth numbering system in books is,Universal system,Zigmondy and Palmar,FDI,Grid System,0,MEDMCQA,783
Short-acting non-depolarising muscle relaxant is:,Succinylcholine,Pancuronium,Mivacurum,Decamethonium,2,MEDMCQA,784
"During diagnostic laparoscopy for undescended testis, there are absent testicular vessels. What should be done next?",Explore fuher,Nothing is to be done,Inguinal exploration,Scrotal examination,2,MEDMCQA,785
"In amalgam filling there is a wide buccolingual space, the wedge technique used should be (OR) If you are going to restore lower molar with amalgam which is having cavity with proximal box wide buccolingually which wedging technique will you use",Double wedge,Wedge wedge,Single wedge,No wedge,0,MEDMCQA,786
Normal growth of maxilla occurs by,Displacement and drift,Drift only,Apposition,Replacement resorption,0,MEDMCQA,787
How is modified shock index represented as?,HR/MAP,MAP/HR,HR/SBP,HR/DBP,0,MEDMCQA,788
Action of Nitroglycerin is,Direct action on smooth muscle,Slows SA node conductvity,Blocks arrhythmia,Increases perfusion to heart,0,MEDMCQA,789
Blood on OT floor is cleaned by?,Phenol,Alcohol based compounds,Chlorine based compounds,Quaternary ammonium compounds,2,MEDMCQA,790
"A 6–month old boy weighing 3.2 kg presents with recurrent vomiting and polyuria. Investigations show blood area 60 mg/dl creatinine 0.7 mg/dL, calcium 12.8 mg/dL, phosphate 3 mg/dL, pH 7.45, bicarbonate 25 mEq/L and PTH 140 pg ml (normal <60 pg/ml). Daily urinary calcium excretion is reduced. Ultrasound abdomen show bilateral nephrocalcinosis. The most likely diagnosis is –",Bartter syndrome,Mutation of the calcium sensing receptor,Ps eudo–ps eudohypoparathyroidism,Parathyroid adenoma,1,MEDMCQA,791
Endontically treated posterior teeth are more susceptible to fracture than untreated one because:,Loss of moisture.,Hollow canals.,Loss of coronal structure.,All of the above.,2,MEDMCQA,792
"A child presents to the emergency with a history of ingestion of button battery, on X-ray it was found in the stomach or duodenum. What is the next step?",Endoscopic removal of battery,Wait and watch,Repeat X-ray after 5 days,Immediate laparotomy,1,MEDMCQA,793
The conversion of glucose-6-P to fructose-6-P is an example of which of the following reactions:,Phosphate transfer,Isomerisation,Dehydration,Aldol cleavage,1,MEDMCQA,794
NK cells are effective against viral infected cells only if the cell with infection:,Express MHC class I proteins,Unable to express MHC class I proteins,Express MHC class II proteins,Unable to express MHC class II proteins,1,MEDMCQA,795
While preparing a Class II cavity on a maxillary first molar which of the pulp horns are likely to get exposed:,Mesiolingual and mesiobuccal,Distolingual and distobuccal,Mesiolingual and distobuccal,Distolingual and mesiobuccal,0,MEDMCQA,796
"A person working in an abattoir presented with a papule on hand, which turned in to an ulcer. Which will best help in diagnosis",Polychrome Methylene blue,Carbol Fuschin,Acid Fast Stain,Calcoflour White,0,MEDMCQA,797
Local irritating factors in gingiva is most likely give rise to:,Pyogenic granuloma,Generalized fibrous hyperplasia of gingiva,Mucosal cobblestoning,Periapical abscess,0,MEDMCQA,798
Most potent topical anesthestic is,Mepivacaine,Prilocaine,Benzocaine,Tetracaine,3,MEDMCQA,799
Etanercept is a disease-modifying drug used in management of rheumatoid ahritis. What is its mechanism of action?,Inhibition of TNF alpha,COX-2 inhibition,IL-6 inhibition,Stabilization of mast cells,0,MEDMCQA,800
Sjogren's syndrome includes all except:,Xerostomia,Keratoconjunctivitis,Arthritis,Lymphoma,3,MEDMCQA,801
"A 10 year old patient reported to department with BCLP (bilateral cleft lip & palate); the maxillary transverse width was normal, lateral incisor was congenitally missing with impacted canine. What will be the treatment approach?",SABG only,SABG followed by expansion,Expansion followed by SABG,Only expansion,0,MEDMCQA,802
"A female of 36 weeks gestation presents with hypertension, blurring of vision and headache. Her blood pressure reading was 180/120 mm Hg and 174/110 mm Hg after 20 minutes. How will you manage the patient?",Admit the patient and observe,"Admit the patient, start antihypertensives and continue pregnancy till term.","Admit the patient, start antihypertensives, MgSO4 and terminate the pregnancy",Admit oral antihypertensives and follow up in out-patient department,2,MEDMCQA,803
What are the cut-off values in 2 hours oral glucose tolerance test for fasting and at 1 hour and 2 hours after meals respectively?,"92, 182, 155","92, 180, 153","95, 180, 155","92, 180, 155",1,MEDMCQA,804
"Fracture of mandible having mandibular height 8 mm, line of treatment:",Champy's plate,Lag screw,Reconstruction plate,All of the above,2,MEDMCQA,805
In heart patient the worst prognosis during pregnancy is seen in:,Mitral regurgitation,Mitral valve prolapse,Aortic stenosis,Pulmonary stenosis,2,MEDMCQA,806
"A 6 weeks old baby presents with cough and cold for the last three days. Respiratory rate is 48/min. Patient is febrile, there are no chest retractions but wheezing is present. Which of the following statement is not true?",Antibiotics are not required,Child is suffering from pneumonia,Treat only wheezing,Treat only fever,1,MEDMCQA,807
Impression compound has which of the following characteristic property?,Low thermal conductivity,High flow property,Degradation in presence of moisture,Remain distortion free up to 72 hrs. pouring can be safely delayed,0,MEDMCQA,808
Pediatric patient presented with 45 mins h/o continuous convulsions.CASE 1: SR told to give iv lorazepam but J.R cant secured iv line. Then what he has given?,Rectal diazepam,Inhalation Phenobarbital,IV carbamazepine,Subcutaneous midazolam,0,MEDMCQA,809
"Which of the following is used as a bio-degradable membrane in ""guided tissue regeneration"" process?",Polylactic acid,Poly tetrafluoroethylene,Millipore,Core membrane,0,MEDMCQA,810
Curve passing through the buccal and lingual cusp tips of the mandibular buccal teeth is:,Wilson curve,Mansoon curve,Curve of Spee,Catenary curve,0,MEDMCQA,811
Anchorage not being applied here:,Reciprocal,Stationary,Intramaxillary,Intraoral,1,MEDMCQA,812
A girl is has white hair. 40% of her classmates are also suffering from the same problem. None of the other people from the same village have white hair. Her brother who is staying with an aunt in the neighbouring village is also normal and does not have white hair. Which of the following explains the probable cause of her white hair?,Environmental,Genetic,Nutritional,Infection,0,MEDMCQA,813
Which of the following drugs is least efficacious in the treatment of temporal lobe epilepsy?,Phenobarbitone,Phenytoin sodium,Primidone,Carbamazepine,2,MEDMCQA,814
The function of compensating curve is,To provide balanced occlusion in complete dentures when mandible is protruded,To aid in establishing an incisal guide,Same as function of curve of spee,None of the above,0,MEDMCQA,815
Most important initiative factor for periodontitis is:,Dental plaque,Calculus,Trauma from occlusion,Food debris layer,0,MEDMCQA,816
A 8-years-old patient comes to you with malocclusion what will be your line of treatment:,Wait and watch till canine erupts,Extraction a and orthodontic treatment,Serial extraction,Immediate intervention with removal appliance,0,MEDMCQA,817
Decalcification and discoloration of teeth occurs during orthodontic treatment due to:,Acid etching,Poor oral hygiene,Leakage of cement around bands,All of the above,3,MEDMCQA,818
Which of the following is not a content of mesorectal fascia?,Inferior rectal vein,Superior rectal vein,Pararectal lymph node,Inferior mesenteric plexus,0,MEDMCQA,819
Which muscle is responsible for translation of condyle?,Medial pterygoid,Masseter,Superior constrictor of pharynx,Lateral pterygoid,3,MEDMCQA,820
Which of the following cranial nerve not associated with olfaction?,XII,IX,V,X,0,MEDMCQA,821
IPC section dealing with illegal aboion with woman consent?,310,312,313,314,1,MEDMCQA,822
Pulpal medication and thermal protection is given by,Solution liners (2-5 μm),Suspension Liners (25-30 μm),Traditional Liner (0.2-0.3 mm),Cement bases,2,MEDMCQA,823
Repeated fracture of a porcelain fused to metal restoration is primarily due to,Occlusal trauma,Inadequately designed framework,Improper firing schedule,Failure to use metal conditioner,1,MEDMCQA,824
A 27 years old lady with 20 weeks pregnancy presented with a thyroid nodule on right side. FNAC from the nodule was suggestive of papillary carcinoma. Which of the following is contraindicated in her management?,Total thyroidectomy plus neck node dissection,Right lobectomy,Radioactive iodine ablation,Total thyroidectomy,2,MEDMCQA,825
Mandibular Molar is,Tritubercular teeth,Quadritubercular teeth,Haplodont,Triconodont,1,MEDMCQA,826
Which of the following is a solid solution?,Amalgam,Cobalt-chromium,Silver-palladium,Gallium-silver,2,MEDMCQA,827
Which of the following nerves supplies the ear lobule?,Greater auricular nerve,Lesser occipital nerve,Facial nerve d,Auriculotemporal nerve,0,MEDMCQA,828
EDTA does not cause which of the following action,Chelating action,Irrigation,Remove smear layer,Pulp fixation,3,MEDMCQA,829
Hardness of stone surface is affected by?,Impression wax,Impression compound,Hydrocolloid impression material,Rubber based material,2,MEDMCQA,830
"""Multifactorial Causation"" theory was given by",McMohan Pugh,Pettenkofer of Munich,Winslow,Robert Koch,1,MEDMCQA,831
A man who had suffered from displaced fracture of mandible complains of pain in-old fracture site near mental foramen. There is a movable tender mass on palpation in the area. The best preoperative diagnosis is:,Neuroleiomyoma,Neurofibroma,Trigeminal neuralgia,Traumatic neuroma,3,MEDMCQA,832
Which of the following instrument does not have 4 digits?,GMT,Excavators,Enamel hatchet,None,2,MEDMCQA,833
Which of the following statements about cystic fibrosis (CF) is not true –,Autosomal recessive disorder,Abnormality in CFTR which leads to defective calcium transport,Mutation in cystic fibrosis transport regulator,All of the above,1,MEDMCQA,834
A dye injected in to space to see the joint is known as:,Arthrography,Arthroscopy,Arthroplasty,Orthopantogram,0,MEDMCQA,835
All are done in management of shoulder dystocia except:,Fundal pressure,Mc Roberts manoeuvre,Suprapubic pressure,Woods manoeuvre,0,MEDMCQA,836
"In a bus accident, which patient is given more priority to
shift to the hospital?",Severe haemorrhage with leg fracture,Head injury,Circulation shock,Airway obstruction,0,MEDMCQA,837
Which of the heart valve is most likely to be involved by Infective endocarditis following a septic abortion:,Aortic valve.,Tricuspid valve.,Pulmonary valve.,Mitral valve.,1,MEDMCQA,838
Sensory nerve fibres to posterior one third of the tongue is supplied by:,XII cranial nerve,IX cranial nerve,X cranial nerve,VII cranial nerve,1,MEDMCQA,839
Marker appearing last in MI,LDH,CPK-MB,Troponin T,Troponin I,0,MEDMCQA,840
"A 10 year old presented to ohopaedic OPD with a Curved Back, AP and Lateral Radiographs are obtained, what is the most likely cause of such deformity?",Congenital,Neurofibromatosis,Idiopathic,Neuromuscular,0,MEDMCQA,841
Which of the following drug should not be given in a patient of narrow angle glaucoma?,Phenylephrine,Timolol,Acetazolamide,Homatropine,3,MEDMCQA,842
For determining periodontal disease an epidemiological survey is done by using:,Gingival index (G.I.),Plaque index (P.I.),Periodontal index (P.I),None of the above,2,MEDMCQA,843
The cribriform plate connects:,Nasal cavity and anterior cranial fossa,Nasal cavity and orbit,Nasal cavity and oral cavity,Anterior cranial fossa and orbit,0,MEDMCQA,844
A 5-year-old child from a rural area presented to the OPD with pustular lesions on the lower legs. The cuture from the lesion showed hemolytic colonies on the blood agar which were Gram-positive cocci. Which of the following reactions would help to provisionally confirm the diagnosis of group A streptococcal pyoderma?,Optochin sensitivity,Bacitracin sensitivity,Catalase positivity,Bile solubility,1,MEDMCQA,845
"While measuring blood pressure of a cardiac tamponade patient, what advice will you give him:",Hold breath,Breathe normally,I.ong and deep breathing,Sho and shallow breaths,1,MEDMCQA,846
Extra palatal root when present on mesial side its known as,Radix mesiopalatalis,Radix mesialis,Radix mesiolingualis,None of the above,2,MEDMCQA,847
Which of the following best describes the resistance form in endodontic root canal preparation?,The establishment of apical tug back resistance to prevent the apical root fracture during obturation,The cavity form which is obtained for application of condenser in vertical compaction,The cavity form which is designed for application of condenser in lateral compaction,Cavity form which is designed to obtain for entry of condenser during obturation,0,MEDMCQA,848
Which of the following orthodontic wire has least modulus of elasticity?,NiTi,Beta titanium,Stainless steel,Co-Cr-Ni,0,MEDMCQA,849
Which of the following is not transmitted by lice,Q fever,Trench fever,Relapsing fever,Epidemic typhus,0,MEDMCQA,850
Most suitable pontic for maxillary posterior area,Trupontic or long pin pontic,Sanitary pontic,Flat back pontic with porcelain facing,Pin facing pontic,0,MEDMCQA,851
"Dinesh, a 24-year-old male, complains of loose teeth
in a single quadrant. His radiograph shows irregular bone loss and histopathology reveals eosinophils and histiocytes. The most probable diagnosis is:",Hand-Schuller-Christian disease,Paget's disease,Osteoclastoma,Albright's syndrome,0,MEDMCQA,852
"An elderly female presented with blockade, nasal discharge, diplopia and facial swelling. On examination, there is blackish discharge from the nasal cavity with necrosis of nasal mucosa, facial skin and palate. There is fixation of the right globe. There is elevated blood sugar and urinary ketones are positive.Which of the following would be the medication to be used in this patient?",Amphotericin B,Itraconazole,Ketoconazole,Broad spectrum antibiotics,0,MEDMCQA,853
An 8 year old female child following URTI developed maculopapular rash on the jaw spreading onto the trunk which cleared on the 3T day without desquamation and tender post auricular and suboccipital lymphadenopathy. The diagnosis is –,Kawasaki disease,Erythema infectiosiun,Rubella,Measles,2,MEDMCQA,854
In the triangle formed by projection of the orifices of the canals of maxillary molars,Line connecting lingual with mesial is longest,Line connecting mesial to distal is longest,Line connecting distal to lingual is longest,All lines are equal,0,MEDMCQA,855
Fate of IDL(Intermediate Density Lipoprotein) in plasma,50% is taken up by liver,50% is converted to LDL particle,Both 1 and 2,None of the above,2,MEDMCQA,856
"Video based question - AIIMS NICU - neonate shown on O2 with nasal prongs, not intubated, sister shown inseing a tube through the mouth, camera zooms in, 18 (calibration) mark seen, the other (green) end as of now not connected to anything, video ends, what is the procedure that is being done?VIDEO LINK:",Oral suction,Oropharyngeal suction,Nasogastric tube inse,Orogastric tube inseion,3,MEDMCQA,857
Hemophilics show:,Increased bleeding time and clotting time,Decreased bleeding time and clotting time,Decreased bleeding time and increased clotting time,Normal bleeding time and increased clotting time,3,MEDMCQA,858
Pulp mummification is indicated in:,Non-vital tooth,Deep caries on a symptomatic vital tooth,Traumatic exposure of a vital tooth,Traumatic exposure of a vital tooth with open wide apex,2,MEDMCQA,859
Which of these is most commonly used as pre-anesthetic medication?,Atropine,Promethazine,Scopolamine,Glycopyrrolate,3,MEDMCQA,860
A 50-year-old male has fever for the past l-week with abdominal ilistention and loss of appetite. It is not responding to antibiotics and antimatarials. widal test is negative but RK39 dipstick test is positive.Which of the following drugs can be used in the above patient?,Bedaquiline,Linezolid,Fluconazole,Liposomal AmPhotericin B,3,MEDMCQA,861
The frontal paranasal sinus drains into the:,Superior meatus,Middle meatus,Inferior meatus,Spheno-ethmoidal recess,1,MEDMCQA,862
A 32-year-old P2L2 lady comes five days after unpro!tected sexual intercourse. What will be your advice for contraception in this lady?,Copper IUCD,Levonorgestrel 0.75 mg,"Two tablets of high dose OCP, repeated after 24 hours",Laparoscopic tubectomy,0,MEDMCQA,863
Which of the following anterior pituitary hormones is primarily under inhibitory control of hypothalamus.,TSH,GRH,Somatostatin,Prolactin,3,MEDMCQA,864
Which of the following is used for selecting patients with respect to potential factors that will affect the results?,Systematic random sampling,Simple random sampling,Stratified random sampling,Cluster sampling,2,MEDMCQA,865
"A 22 years old male presented with history of fever, sore throat and enlarged neck lymph nodes. He was ordered a Paul-Bunnell test with a suspicion of Infectious mononucleosis. What is the immunological basis behind the use of this test?",Heterophile antibody test,Complement mediated agglutination reaction,Homophile antibody test,Latex agglutination test,0,MEDMCQA,866
Which of the following is supplied by the glossopharyngeal nerve?,Stylopharyngeus,Palatopharyngeus,Geniohyoid,Genioglossus,0,MEDMCQA,867
Which of the following headgear is preferred while treating a class II div. 1 malocclusion with a horizontal growth trend?,High pull head gear,Medium pull head gear,Cervical head gear,Reverse pull head gear,2,MEDMCQA,868
"In root fracture of the apical one-thrid of permanent
anterior teeth, the teeth usually",Discolor rapidly,Remain in function and are vital,Undergo papal necrosis and become ankylosed,Are indicated for extraction and prosthetic replacement,1,MEDMCQA,869
A psychiatrist is not posted at:,PHC,Military hospitals,District hospitals,Hospitals with medical colleges,0,MEDMCQA,870
First order neuron of visual pathway -,Photoreceptor,bipolar neuron,lateral geniculate body,all of the above,0,MEDMCQA,871
"In a skeletal Class III, the value of ANB will be:",-10,2,4,6,0,MEDMCQA,872
Ideal depth for root end filling with MTA is?,3mm,5mm,7mm,1mm,0,MEDMCQA,873
Deep y descent in JVP is seen in all except:-,Cardiac tamponade,RCM,Constrictive pericarditis,Tricuspid regurgitation,0,MEDMCQA,874
Dynamic creep is the,Continuing alloying between silver-tin alloy and mercury during the life of restoration,Deformation of set amalgam during function,"Process whereby alloy is ""wetted"" by mercury",Spread of amalgam during packing,1,MEDMCQA,875
How much population falls between median and median plus one standard deviation in a normal distribution ?,0.34,0.68,0.17,0.47,0,MEDMCQA,876
Which of the following is the best test for assessment of intestinal malabsorption?,Fecal fat estimation,Serum lactose levels,Serum amylase levels,NBT-PABA test,0,MEDMCQA,877
In a patient with Hepatitis B infection. Which one of the markers will be increased?,HbsAg,HbcAg,Anti HbsAg IgG,Anti HbcAg IgG,3,MEDMCQA,878
The probability of a test detecting a truly positive person from the population of diseased is the,Specificity of the test,Positive predictive value of the test,Sensitivity of the test,Likelihood ratio,2,MEDMCQA,879
An affected male does not have affected children but an affected female always has affected children. Type of inheritance?,X linked recessive,Autosomal recessive,X linked dominant,Mitochondrial,3,MEDMCQA,880
Pulp proper resembles,Loose connective tissue,Fine nerve fibers and blood vessels,Multipotent cells,All of the above,0,MEDMCQA,881
CLED media better than Macconkey media,It stimulates growth of Staph and Candida as it is non selective,Inhibits swarming of proteus,Differentiates between Lactose fermenter and non-lactose fermenters,Sodium taurocholate is used as selective agent.,0,MEDMCQA,882
Main crystalline component of calculus is,Hydroxyapatite,Octacalcium phosphate,Magnisium whitlockite,Brushite,0,MEDMCQA,883
Sorting a patient of trauma of head injury on basis of need of care and availability of resources,Triage,Emergency care,Definitive care,Hospital care,0,MEDMCQA,884
St. Anthony's fire refers to poisoning by:,Ergot alkaloids,Spanish fly,Crotalaria juncea,Aflatoxin,0,MEDMCQA,885
Calcification of brain is seen in which of the following:,Papillon lefevre syndrome,Gorham stout syndrome,Menke syndrome,Leukocyte adhesion deficiency syndrome,0,MEDMCQA,886
All of the following are carried by the dorsal column except?,Pain,Proprioception,Vibration,Touch,0,MEDMCQA,887
Niacin & riboflavin help in:,Redox reactions,Transamination reaction,Methyl group transfer,Amine group transfer,0,MEDMCQA,888
A 55-year-old male presents with renal failure. He gives a history of mild bone pains for the last 7 years. X-ray pelvis shows osteolytic lesions. Serum electrophoresis reveals a M spike. Peripheral blood evaluation showed rouleaux formation of RBCs with 35% plasma cells. Bone marrow examination showed a increase in plasma cells with aberrant antigen expression. The most likely diagnosis is:,Multiple myeloma,Monoclonal gammopathy with unknown significance,Smouldering myeloma,Plasma cell leukemia,0,MEDMCQA,889
Which of the following vitamin increases the absorption of iron?,Vitamin A,Vitamin C,Thiamin,Riboflavin,1,MEDMCQA,890
"A 12-years-old boy presents with a symmetric, expansile cystic lesion in the proximal humerus. All of the following can be done for his treatment except",Curettage,Intralesional steroids,Intralesional sclerosing agents,Radiotherapy,1,MEDMCQA,891
Fracture of gold restoration primarily depends on,Restoration design,Type of alloy,Noble metal & base metal ratio,All of above,0,MEDMCQA,892
Continuous murmur can be heard in all except:,VSD with aoic regurgitation,Coronary AV fistula,Pulmonary AV fistula,Patent ductus aeriosus,0,MEDMCQA,893
Disease caused by Staphylococcus aureus which is not mediated through a toxin is,Food poisoning,Septicemic shock,Toxic shock syndrome,Staphylococcal scalded skin syndrome,1,MEDMCQA,894
All of the following constitute the active management of third stage of labour for the prevention of postpaum hemorrhage (PPH) except:,Direct injection of oxytocin after delivery of anterior shoulder,Constant controlled cord traction,Early cord clamping and cutting,Prophylactic misoprostol,2,MEDMCQA,895
Rotation speed of profile instruments,50-100 RPM,100-3000 RPM,300-500 RPM,150-300 RPM,3,MEDMCQA,896
Which of the following is least likely in PDA?,"CO, wash out",Necrotizing enterocolitis,Bounding pulse,Pulmonary hemorrhage,0,MEDMCQA,897
Foltowing are the features of the color of normal amniotic fluid during delivery?,Milky to yellowish green with mucus flakes,Amber colored,Clear colorless to Pale Yellow,Golden color,2,MEDMCQA,898
Which of the following tests is most sensitive for the detection of iron depletion in pregnancy ?,Serum iron,Serum ferritin,Serum transferrin,Serum iron binding capacity,1,MEDMCQA,899
A pregnant female delivered a baby with normal expulsion of an intact placenta. After half hour she staed bleeding per vaginaly. On examination she was hypotensive and boggy mass is palpated per abdomen. USG showed retained placental tissues. what is the likely diagnosis?,Placenta succenturiata,Adenomyosis,Placenta accreta,Membranous placenta,0,MEDMCQA,900
Continuous GnRH therapy is used in All EXCEPT.,Precocious pubey,Prostate cancer,Male infeility,Endometriosis,2,MEDMCQA,901
Which among the following is not true about ankylosing spondylitis?,Enthesis is the primary site of pathology,More common in Females,TNF plays an impoant role in the pathogenesis of ankylosing spondylitis,Sacroiliitis is the earliest manifestation of ankylosing spondylitis,1,MEDMCQA,902
Which of the following drugs is a P-glycoprotein inducer?,Azithromycin,Ketoconazole,Itraconazole,Rifampicin,3,MEDMCQA,903
"Drug adveisement letter is a necessary component of each drug formulation and contains various information about the drug like drug dosing, frequency and half-life. Which of the following information need not be given in the drug adveisement letter?",Research papers and other aicles proving efficacy of the drug,Date of expiry of the drug,"Rare, but serious life threatening adverse-effects","Common, not so serious adverse-effects",1,MEDMCQA,904
A tender swelling in submandibular triangle is mostly likely diagnosed as,Lymphadenopathy,Ludwig's angina,Phlegmon,None of the above,0,MEDMCQA,905
Which of the following is true about intracellular iron homeostasis in iron deficiency anemia?,Transferrin receptor-1 iron responsive elements increase transferrin receptor mRNA concentration and synthesis,Transferrin receptor-1 iron responsive elements decrease transferrin receptor mRNA concentration and synthesis,Apoferritin mRNA iron response element decreases and ferritin synthesis decreases,Apoferritin mRNA iron response element decreases and ferritin synthesis increases,0,MEDMCQA,906
Trisodium phosphate in alginate acts as:,Retarder,Reactor,Accelerator,Plasticizer,0,MEDMCQA,907
Retraction of the protruded mandible is done by,Medial Pterygoid,Lateral pterygoid,Masseter,Temporalis,3,MEDMCQA,908
Fovea palatine are,Structures through which blood supply take place,Mucosal salivary glands,Palatal termination of maxillary denture,Found in every individual,1,MEDMCQA,909
Patient who is a known case of thalassemia major already on repeated blood transfusions with history of iron overload previously treated with chelating agents. She also has a history of cardiac arrhythmia. She came for BT now. During BT patient complained of backache and looks extremely anxious. What is next management?,Observe for a change in colour of the urine,"Continue BT, do ECG",Stop BT and wait for patient to get normal and sta,Stop BT and Do clerical check,3,MEDMCQA,910
Which of the following does not occur in High Copper Amalgam?,Electrochemical Corrosion,Chemical Corrosion,Penetrating Corrosion,Corrosion does not occur at all,2,MEDMCQA,911
"p' value is 0.00, then",Results are true of 99.9% of population,Test is not significant,1% of significance,There is no co-relation,0,MEDMCQA,912
"20-year-old female had abdominal pain previous week, USG and clinically normal. Again she presented with loss of vision, examination is normal. Diagnosis is:AIIMS 13",Malingering,Masochist,Hypochondriac,Anxiety disorder,0,MEDMCQA,913
Which of the following is inherited as an autosomal dominant trait?,Lichen planus,Bullous pemphigoid,Pemphigus yulgaris,White sponge nevus,3,MEDMCQA,914
All parasites are in hepatocytes Except ?,Toxoplasma,P. falciparium,Leishmania,Babesia,3,MEDMCQA,915
In pregnancy cardiac output increases 30 to 40% during?,20th week of pregnancy,22 weeks of pregnancy,24 weeks of pregnancy,28 weeks of gestation,3,MEDMCQA,916
Immunofluorescence staining pattern from a kidney biopsy from a 35-year-old patient presenting with proteinuria has been shown below. What is the most probable cause?,FSGS,PSGN,Lupus Nephritis,Goodpasture syndrome,2,MEDMCQA,917
"A doctor who performed the autopsy on a 26-year-old married woman, committing suicide found the cause of death to be aluminium phosphide poisoning. She was summoned in a cou of law where he willingly hides this information. This is punishable under which section?",IPC 193,CrPC 175,CrPC 69,IPC 189,0,MEDMCQA,918
Finishing and Polishing of Amalgam make the restoration:,Increase in tarnish and corrosion resistance,Increase the marginal strength,Decrease the tarnish and corrosion resistance,Increased compressive strength,0,MEDMCQA,919
"A 2 weeks old infant has conjunctivitis, which later developed into respiratory distress and pneumonia. Chest X-ray showed bilateral lung infiltrates. WBC count was 14,300/dL. Which of the following is the most likely organism?",Chlamydia trachomatis,Streptococcus agalactiae,Gonococcus,Haemophilus influenzae,0,MEDMCQA,920
Which of the following doesn't occur in 5' to 3' direction?,DNA repair,DNA replication,RNA editing,Transcription,2,MEDMCQA,921
what does not occur in 5'- 3'direction?,DNA repair,DNA replication,RNA editing,Transcription,2,MEDMCQA,922
Thiamine deficiency is assessed by:,Erythrocyte transketolase activity,RBS Glutathione reductase,RBC thiamine levels,Serum thiamine level,0,MEDMCQA,923
As we move from anterior to posterior gingival embrasure become,Smaller,Larger,Remain same,Can be any of the above,0,MEDMCQA,924
"White, spongy, folded thick mucosa is seen in",Oral hairy leukoplakia,Aspirin burn,White spongy nevus,Pseudomembranous Candidiasis,2,MEDMCQA,925
Best test for fetal maturity in a diabetic mother is :,L:S ratio,Lecithin-cephalin ratio,Phosphatidyl choline,Phosphatidyl glycerol,3,MEDMCQA,926
Space between Apical constriction and Apical foamen is,Funnel shaped,Hyper bolic,Morning glory,All of the above,3,MEDMCQA,927
"In gene studies, the specific site to which the enzyme CRE recombinase binds is:",RE site,LoxP site,NT site,F site,1,MEDMCQA,928
Most atypical (unique) tooth,Primary lower 1st molar,Primary lower 2nd molar,Primary upper 1st molar,Primary upper 2nd molar,0,MEDMCQA,929
Central wrapping is done by:,Golgi tendon,Type 2 fibre,Flower spray ending,Annulospiral ending,3,MEDMCQA,930
Periodontosis manifests itself mainly in:,Molars,Upper incisors,Molars and incisors,Premolars,2,MEDMCQA,931
"In a MO cavity prepared for inlay, mechanical advantage
to prevent proximal displacement of the restoration is
by establishing:",Adequate pulpal depth,Parallel walls,Occlusal dovetail,Acute lingual inclination in axiogingival area,2,MEDMCQA,932
